Zip code;State;Metro;County name;Date;Home value ($ per m2)
Canon City;CO;Cañon City;Fremont County;2019-03-01;159
Canon City;CO;Cañon City;Fremont County;2019-02-01;159
Evergreen;CO;Denver-Aurora-Lakewood;Jefferson County;2019-04-01;557
Aurora;CO;Denver-Aurora-Lakewood;Arapahoe County;2019-04-01;307
Littleton;CO;Denver-Aurora-Lakewood;Arapahoe County;2019-06-01;335
Commerce City;CO;Denver-Aurora-Lakewood;Adams County;2019-01-01;357
Pueblo;CO;Pueblo;Pueblo County;2019-04-01;165
Fort Collins;CO;Fort Collins;Larimer County;2019-12-01;718
Broomfield;CO;Denver-Aurora-Lakewood;Broomfield County;2019-09-01;269
Clark;CO;Steamboat Springs;Routt County;2019-12-01;283
Eldorado Springs;CO;Boulder;Boulder County;2019-02-01;591
Pinecliffe;CO;Denver-Aurora-Lakewood;Gilpin County;2019-09-01;359
Idledale;CO;Denver-Aurora-Lakewood;Jefferson County;2019-03-01;402
Black Hawk;CO;Denver-Aurora-Lakewood;Gilpin County;2019-10-01;217
Black Hawk;CO;Denver-Aurora-Lakewood;Gilpin County;2019-05-01;217
Log Lane Village;CO;Fort Morgan;Morgan County;2019-11-01;66
Gold Hill;CO;Boulder;Boulder County;2019-09-01;291
La Salle;CO;Greeley;Weld County;2019-06-01;206
Nederland;CO;Boulder;Boulder County;2019-05-01;347
Hotchkiss;CO;;Delta County;2019-08-01;939
Divide;CO;Colorado Springs;Teller County;2019-05-01;219
Rifle;CO;Glenwood Springs;Garfield County;2019-10-01;709
Trinidad;CO;;Las Animas County;2019-10-01;100
Granby;CO;;Grand County;2019-11-01;249
Clifton;CO;Grand Junction;Mesa County;2019-07-01;572
Yuma;CO;;Yuma County;2019-04-01;118
Florissant;CO;Colorado Springs;Teller County;2019-03-01;201
Pagosa Springs;CO;;Archuleta County;2019-04-01;268
Del Norte;CO;;Rio Grande County;2019-11-01;145
Woodland Park;CO;Colorado Springs;Teller County;2019-05-01;437
Burlington;CO;;Kit Carson County;2019-12-01;90
Cedaredge;CO;;Delta County;2019-03-01;593
Palisade;CO;Grand Junction;Mesa County;2019-08-01;1381
Bayfield;CO;Durango;La Plata County;2019-08-01;812
Federal Heights;CO;Denver-Aurora-Lakewood;Adams County;2019-04-01;245
Wellington;CO;Fort Collins;Larimer County;2019-11-01;3593
Coal Creek;CO;Cañon City;Fremont County;2019-06-01;121
Rockvale;CO;Cañon City;Fremont County;2019-04-01;106
Vail;CO;Edwards;Eagle County;2019-05-01;932
Aspen;CO;Glenwood Springs;Pitkin County;2019-04-01;1446
Yoder;CO;Colorado Springs;El Paso County;2019-10-01;172
Edwards;CO;Edwards;Eagle County;2019-08-01;2292
Byers;CO;Denver-Aurora-Lakewood;Arapahoe County;2019-01-01;1956
Limon;CO;;Lincoln County;2019-03-01;103
Silverthorne;CO;Breckenridge;Summit County;2019-08-01;415
Estes Park;CO;Fort Collins;Larimer County;2019-03-01;790
Frisco;CO;Breckenridge;Summit County;2019-06-01;549
Berthoud;CO;Fort Collins;Larimer County;2019-05-01;19976
Sedalia;CO;Denver-Aurora-Lakewood;Douglas County;2019-05-01;445
Sedalia;CO;Denver-Aurora-Lakewood;Douglas County;2019-07-01;445
Sedalia;CO;Denver-Aurora-Lakewood;Douglas County;2019-04-01;445
Monte Vista;CO;;Rio Grande County;2019-11-01;112
Cortez;CO;;Montezuma County;2019-01-01;177
Alamosa;CO;;Alamosa County;2019-10-01;134
Woodland Park;CO;Colorado Springs;Teller County;2019-06-01;437
Delta;CO;;Delta County;2019-05-01;141
Vail;CO;Edwards;Eagle County;2019-02-01;932
Vail;CO;Edwards;Eagle County;2019-04-01;932
Elbert;CO;Colorado Springs;El Paso County;2019-01-01;199
Johnstown;CO;Greeley;Weld County;2019-02-01;170
Black Forest;CO;Colorado Springs;El Paso County;2019-09-01;1085
La Junta;CO;;Otero County;2019-11-01;244
Avon;CO;Edwards;Eagle County;2019-04-01;461
Kim;CO;;Las Animas County;2019-10-01;84
Telluride;CO;;San Miguel County;2019-12-01;829
Meredith;CO;Glenwood Springs;Pitkin County;2019-07-01;379
Phippsburg;CO;Steamboat Springs;Routt County;2019-01-01;170
Dinosaur;CO;Craig;Moffat County;2019-11-01;61
East Pleasant View;CO;Denver-Aurora-Lakewood;Jefferson County;2019-10-01;279
Bedrock;CO;Montrose;Montrose County;2019-12-01;183
Vona;CO;;Kit Carson County;2019-09-01;78
Garden City;CO;Greeley;Weld County;2019-09-01;224
Pritchett;CO;;Baca County;2019-06-01;43
Kittredge;CO;Denver-Aurora-Lakewood;Jefferson County;2019-02-01;325
Karval;CO;;Lincoln County;2019-08-01;100
Twin Lakes;CO;;Lake County;2019-10-01;244
Twin Lakes;CO;;Lake County;2019-05-01;244
Fraser;CO;;Grand County;2019-01-01;368
Allenspark;CO;Boulder;Boulder County;2019-07-01;417
Ouray;CO;;Ouray County;2019-01-01;242
Ouray;CO;;Ouray County;2019-02-01;242
Molina;CO;Grand Junction;Mesa County;2019-10-01;211
Anton;CO;;Washington County;2019-11-01;108
Hooper;CO;;Alamosa County;2019-05-01;73
Joes;CO;;Yuma County;2019-09-01;133
Ordway;CO;;Crowley County;2019-10-01;49
Antonito;CO;;Conejos County;2019-08-01;383
Timnath;CO;Fort Collins;Larimer County;2019-07-01;5103
Wolcott;CO;Edwards;Eagle County;2019-12-01;378
New Castle;CO;Glenwood Springs;Garfield County;2019-02-01;895
Julesburg;CO;;Sedgwick County;2019-03-01;64
Julesburg;CO;;Sedgwick County;2019-01-01;64
Hugo;CO;;Lincoln County;2019-09-01;84
Ophir;CO;;San Miguel County;2019-03-01;356
